Eurovision Song Contest 2016 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Cyprus,Armenia,6,1,5,6,1,2,4,10,7
Cyprus,San Marino,17,16,17,2,17,16,12,"
","
"
Cyprus,Russia,1,3,1,1,2,1,2,12,10
Cyprus,Czech Republic,8,6,14,3,6,6,14,5,"
"
Cyprus,Austria,13,8,9,11,9,9,8,2,3
Cyprus,Estonia,11,12,3,15,11,11,16,"
","
"
Cyprus,Azerbaijan,2,10,12,4,13,7,3,4,8
Cyprus,Montenegro,9,17,13,16,15,17,17,"
","
"
Cyprus,Iceland,7,13,11,9,10,10,13,1,"
"
Cyprus,Bosnia & Herzegovina,3,15,15,7,16,13,15,"
","
"
Cyprus,Malta,5,5,2,8,4,3,6,8,5
Czech Republic,Finland,5,5,12,1,4,4,17,7,"
"
Czech Republic,Greece,12,13,15,16,16,17,15,"
","
"
Czech Republic,Moldova,17,11,10,13,8,11,14,"
","
"
Czech Republic,Hungary,1,1,1,2,1,1,5,12,6
Czech Republic,Croatia,6,4,7,5,7,5,9,6,2
Czech Republic,The Netherlands,2,2,2,3,2,2,8,10,3
Czech Republic,Armenia,16,12,11,12,10,12,1,"
",12
Czech Republic,San Marino,7,14,16,9,17,13,13,"
","
"
Czech Republic,Russia,15,17,6,14,11,14,3,"
",8
Czech Republic,Cyprus,3,16,13,15,5,10,7,1,4
Czech Republic,Austria,8,8,5,4,6,6,6,5,5
Czech Republic,Estonia,13,10,9,17,15,15,12,"
","
"
Czech Republic,Azerbaijan,9,9,8,11,9,8,2,3,10
Czech Republic,Montenegro,14,15,17,10,13,16,16,"
","
"
Czech Republic,Iceland,4,6,3,8,12,7,11,4,"
"
Czech Republic,Bosnia & Herzegovina,10,7,14,7,14,9,4,2,7
Czech Republic,Malta,11,3,4,6,3,3,10,8,1
Estonia,Finland,12,2,9,11,17,11,4,"
",7
Estonia,Greece,16,17,17,7,14,15,16,"
","
"
Estonia,Moldova,14,9,10,13,13,13,13,"
","
"
Estonia,Hungary,5,6,7,14,4,6,6,5,5
Estonia,Croatia,9,15,11,4,1,8,12,3,"
"
Estonia,The Netherlands,1,7,2,1,6,1,3,12,8
Estonia,Armenia,11,12,4,6,7,9,10,2,1
Estonia,San Marino,13,16,16,16,11,16,7,"
",4
Estonia,Russia,10,4,8,9,12,10,1,1,12
Estonia,Czech Republic,7,14,1,3,10,5,14,6,"
"
Estonia,Cyprus,4,3,5,8,2,2,5,10,6
Estonia,Austria,2,13,13,17,15,14,2,"
",10
Estonia,Azerbaijan,8,1,6,5,8,4,11,7,"
"
Estonia,Montenegro,15,10,14,12,3,12,15,"
","
"
Estonia,Iceland,6,5,12,10,5,7,8,4,3
Estonia,Bosnia & Herzegovina,17,11,15,15,16,17,17,"
","
"
Estonia,Malta,3,8,3,2,9,3,9,8,2
Finland,Greece,16,17,17,15,17,17,16,"
","
"
Finland,Moldova,8,16,15,14,9,14,17,"
","
"
Finland,Hungary,7,15,14,12,6,12,7,"
",4
Finland,Croatia,5,4,10,7,10,6,9,5,2
Finland,The Netherlands,1,1,7,5,1,1,5,12,6
Finland,Armenia,6,3,6,8,7,4,10,7,1
Finland,San Marino,15,12,11,2,12,11,8,"
",3
Finland,Russia,10,5,2,11,2,5,3,6,8
Finland,Czech Republic,3,2,5,6,3,2,11,10,"
"
Finland,Cyprus,11,13,9,13,13,13,4,"
",7
Finland,Austria,2,6,13,1,15,8,2,3,10
Finland,Estonia,12,8,12,4,11,10,1,1,12
Finland,Azerbaijan,9,9,4,10,5,9,15,2,"
"
Finland,Montenegro,17,11,16,16,14,16,14,"
","
"
Finland,Iceland,13,7,3,9,4,7,6,4,5
Finland,Bosnia & Herzegovina,14,14,8,17,16,15,12,"
","
"
Finland,Malta,4,10,1,3,8,3,13,8,"
"
France,Finland,12,8,13,9,13,12,18,"
","
"
France,Greece,16,18,15,13,7,15,14,"
","
"
France,Moldova,14,17,8,15,2,13,9,"
",2
France,Hungary,7,2,5,14,6,6,4,5,7
France,Croatia,3,11,4,8,8,5,10,6,1
France,The Netherlands,1,10,6,5,1,3,7,8,4
France,Armenia,9,4,3,11,11,8,1,3,12
France,San Marino,15,16,18,17,12,16,13,"
","
"
France,Russia,11,7,9,10,3,9,3,2,8
France,Czech Republic,10,9,11,3,15,10,8,1,3
France,Cyprus,8,12,2,4,10,7,6,4,5
France,Austria,2,3,1,2,5,1,2,12,10
France,Estonia,6,13,10,6,14,11,15,"
","
"
France,Azerbaijan,5,6,12,7,4,4,16,7,"
"
