Eurovision Song Contest 2016 First Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Moldova,Armenia,2,3,9,4,1,2,3,10,8
Moldova,San Marino,12,16,15,17,15,16,7,"
",4
Moldova,Russia,1,1,5,2,2,1,2,12,10
Moldova,Czech Republic,8,7,1,3,5,3,8,8,3
Moldova,Cyprus,4,4,10,6,3,4,15,7,"
"
Moldova,Austria,7,12,11,15,14,13,4,"
",7
Moldova,Estonia,13,5,3,8,8,9,10,2,1
Moldova,Azerbaijan,6,13,16,12,11,12,1,"
",12
Moldova,Montenegro,17,17,17,16,17,17,16,"
","
"
Moldova,Iceland,16,11,6,14,9,11,17,"
","
"
Moldova,Bosnia & Herzegovina,14,10,7,13,10,10,12,1,"
"
Moldova,Malta,3,9,4,9,7,5,6,6,5
Montenegro,Finland,12,16,14,15,17,16,12,"
","
"
Montenegro,Greece,9,7,6,9,7,8,14,3,"
"
Montenegro,Moldova,16,13,17,12,14,15,17,"
","
"
Montenegro,Hungary,11,11,10,6,13,10,5,1,6
Montenegro,Croatia,3,4,8,2,6,4,3,7,8
Montenegro,The Netherlands,6,8,7,14,10,9,13,2,"
"
Montenegro,Armenia,1,2,3,1,2,1,8,12,3
Montenegro,San Marino,15,15,15,17,16,17,9,"
",2
Montenegro,Russia,2,6,1,5,3,3,2,8,10
Montenegro,Czech Republic,10,5,5,7,8,7,10,4,1
Montenegro,Cyprus,8,10,12,11,15,11,6,"
",5
Montenegro,Austria,17,17,13,13,11,14,11,"
","
"
Montenegro,Estonia,13,14,16,10,12,13,16,"
","
"
Montenegro,Azerbaijan,5,9,4,8,5,6,4,5,7
Montenegro,Iceland,14,12,11,16,9,12,15,"
","
"
Montenegro,Bosnia & Herzegovina,7,3,9,4,4,5,1,6,12
Montenegro,Malta,4,1,2,3,1,2,7,10,4
Russia,Finland,17,17,17,-,13,17,17,"
","
"
Russia,Greece,4,7,5,-,5,4,8,7,3
Russia,Moldova,9,8,8,-,4,5,6,6,5
Russia,Hungary,13,9,9,-,2,7,5,4,6
Russia,Croatia,3,16,13,-,8,10,7,1,4
Russia,The Netherlands,7,13,7,-,14,11,11,"
","
"
Russia,Armenia,2,1,1,-,3,1,1,12,12
Russia,San Marino,11,15,15,-,16,16,13,"
","
"
Russia,Czech Republic,14,3,4,-,9,6,10,5,1
Russia,Cyprus,16,10,11,-,10,13,3,"
",8
Russia,Austria,6,14,14,-,11,12,2,"
",10
Russia,Estonia,8,4,10,-,17,9,12,2,"
"
Russia,Azerbaijan,1,5,3,-,1,2,4,10,7
Russia,Montenegro,15,6,6,-,7,8,16,3,"
"
Russia,Iceland,12,11,12,-,12,14,14,"
","
"
Russia,Bosnia & Herzegovina,10,12,16,-,15,15,15,"
","
"
Russia,Malta,5,2,2,-,6,3,9,8,2
San Marino,Finland,17,14,16,17,2,16,15,"
","
"
San Marino,Greece,11,7,15,1,17,14,16,"
","
"
San Marino,Moldova,13,12,14,9,6,15,13,"
","
"
San Marino,Hungary,10,11,9,8,10,12,4,"
",7
San Marino,Croatia,6,3,11,10,16,10,12,1,"
"
San Marino,The Netherlands,1,1,3,4,5,1,5,12,6
San Marino,Armenia,14,10,5,11,7,11,3,"
",8
San Marino,Russia,7,17,2,2,15,8,1,3,12
San Marino,Czech Republic,15,2,1,16,8,7,9,4,2
San Marino,Cyprus,5,8,6,3,11,3,6,8,5
San Marino,Austria,9,4,10,14,14,13,8,"
",3
San Marino,Estonia,16,16,17,15,13,17,14,"
","
"
San Marino,Azerbaijan,2,13,12,7,4,5,2,6,10
San Marino,Montenegro,4,9,4,6,9,2,17,10,"
"
San Marino,Iceland,8,6,7,13,3,4,10,7,1
San Marino,Bosnia & Herzegovina,3,5,13,12,12,9,7,2,4
San Marino,Malta,12,15,8,5,1,6,11,5,"
"
Spain,Finland,9,8,10,5,10,8,14,3,"
"
Spain,Greece,15,16,17,18,17,17,15,"
","
"
Spain,Moldova,13,13,16,10,14,14,13,"
","
"
Spain,Hungary,4,1,2,2,4,2,6,10,5
Spain,Croatia,12,7,11,14,8,11,9,"
",2
Spain,The Netherlands,1,10,9,1,13,7,5,4,6
Spain,Armenia,2,2,1,3,2,1,2,12,10
Spain,San Marino,18,18,18,17,16,18,12,"
","
"
Spain,Russia,11,6,3,4,1,3,3,8,8
Spain,Czech Republic,7,3,7,6,5,5,4,6,7
Spain,Cyprus,8,12,14,7,7,10,8,1,3
Spain,Austria,10,14,8,11,9,12,1,"
",12
Spain,Estonia,14,9,15,12,12,13,11,"
","
"
Spain,Azerbaijan,6,4,4,13,3,6,17,5,"
"
Spain,Montenegro,16,17,12,16,18,16,18,"
","
"
Spain,Iceland,5,11,6,9,11,9,7,2,4
Spain,Bosnia & Herzegovina,17,15,13,15,15,15,16,"
","
"
Spain,Malta,3,5,5,8,6,4,10,7,1
Sweden,Finland,10,9,1,7,9,7,5,4,6
Sweden,Greece,15,15,18,9,18,16,15,"
","
"
Sweden,Moldova,18,14,9,15,12,14,17,"
","
"
Sweden,Hungary,6,10,17,11,11,13,7,"
",4
Sweden,Croatia,4,8,16,6,7,8,10,3,1
Sweden,The Netherlands,5,7,15,3,1,5,2,6,10
Sweden,Armenia,1,3,6,13,10,6,8,5,3
Sweden,San Marino,17,18,10,14,17,18,11,"
","
"
Sweden,Russia,2,2,3,2,2,1,3,12,8
Sweden,Czech Republic,3,5,5,8,8,4,13,7,"
"
Sweden,Cyprus,14,13,7,12,5,10,9,1,2
Sweden,Austria,9,17,14,4,6,9,4,2,7
Sweden,Estonia,12,6,4,16,16,12,14,"
","
"
Sweden,Azerbaijan,11,1,8,1,3,3,16,8,"
"
Sweden,Montenegro,16,16,13,17,14,17,18,"
","
"
Sweden,Iceland,8,11,11,10,13,11,6,"
",5
Sweden,Bosnia & Herzegovina,13,12,12,18,15,15,1,"
",12
Sweden,Malta,7,4,2,5,4,2,12,10,"
"
The Netherlands,Finland,8,4,12,10,4,9,15,2,"
"
The Netherlands,Greece,17,17,17,16,16,17,13,"
","
"
The Netherlands,Moldova,7,12,11,15,15,14,16,"
","
"
The Netherlands,Hungary,9,11,8,1,8,8,5,3,6
The Netherlands,Croatia,1,1,6,4,1,1,6,12,5
The Netherlands,Armenia,10,5,1,8,9,6,1,5,12
The Netherlands,San Marino,11,6,16,17,10,13,7,"
",4
The Netherlands,Russia,14,15,3,7,12,10,3,1,8
The Netherlands,Czech Republic,6,13,5,5,5,7,9,4,2
The Netherlands,Cyprus,2,9,4,2,3,2,8,10,3
The Netherlands,Austria,3,2,10,9,7,5,2,6,10
The Netherlands,Estonia,13,14,13,6,13,12,14,"
","
"
The Netherlands,Azerbaijan,5,3,7,13,2,4,12,7,"
"
The Netherlands,Montenegro,16,10,14,11,17,15,17,"
","
"
The Netherlands,Iceland,12,8,9,12,11,11,11,"
","
"
The Netherlands,Bosnia & Herzegovina,15,16,15,14,14,16,4,"
",7
The Netherlands,Malta,4,7,2,3,6,3,10,8,1
