Eurovision Song Contest 2015 Second Semi-Final,,,,,,,,,,
From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Italy,Sweden,8,8,5,1,1,4,4,2,10
Italy,Switzerland,14,17,14,15,14,16,15,17,"
"
Italy,Cyprus,2,3,10,2,3,1,9,4,7
Italy,Slovenia,7,9,17,11,4,10,6,8,3
Italy,Poland,11,16,16,5,12,14,1,6,5
Latvia,Lithuania,7,13,1,5,5,5,1,2,10
Latvia,Ireland,4,7,3,2,6,2,14,7,4
Latvia,San Marino,16,16,16,9,16,16,13,15,"
"
Latvia,Montenegro,5,2,7,4,14,6,12,9,2
Latvia,Malta,6,9,8,12,9,11,16,14,"
"
Latvia,Norway,8,1,4,10,2,3,5,4,7
Latvia,Portugal,14,15,14,16,11,15,15,16,"
"
Latvia,Czech Republic,13,12,15,15,10,13,6,10,1
Latvia,Israel,3,3,12,11,15,10,7,8,3
Latvia,Azerbaijan,12,10,9,8,7,12,10,12,"
"
Latvia,Iceland,15,14,11,13,12,14,9,13,"
"
Latvia,Sweden,1,4,2,1,1,1,2,1,12
Latvia,Switzerland,11,8,10,7,8,9,11,11,"
"
Latvia,Cyprus,10,6,6,3,13,7,3,5,6
Latvia,Slovenia,2,5,5,14,3,4,4,3,8
Latvia,Poland,9,11,13,6,4,8,8,6,5
Lithuania,Ireland,5,13,5,6,13,7,12,9,2
Lithuania,San Marino,14,16,16,16,16,16,10,14,"
"
Lithuania,Montenegro,15,11,15,13,10,14,14,15,"
"
Lithuania,Malta,13,5,12,7,4,6,16,12,"
"
Lithuania,Norway,4,3,2,3,1,3,5,3,8
Lithuania,Portugal,12,6,10,15,14,13,15,16,"
"
Lithuania,Czech Republic,16,12,14,12,11,15,7,11,"
"
Lithuania,Israel,10,10,13,8,7,9,6,7,4
Lithuania,Latvia,1,2,3,2,3,2,1,1,12
Lithuania,Azerbaijan,2,4,6,4,8,4,9,5,6
Lithuania,Iceland,7,15,8,10,9,10,11,10,1
Lithuania,Sweden,3,1,1,1,2,1,2,2,10
Lithuania,Switzerland,9,9,9,14,15,12,13,13,"
"
Lithuania,Cyprus,11,7,7,11,6,8,8,8,3
Lithuania,Slovenia,6,8,4,5,5,5,4,4,7
Lithuania,Poland,8,14,11,9,12,11,3,6,5
